"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SMDT1",0,-0.258550510981844,0.149,0.45,0
"GALNT13",0,-0.492939701411791,0.179,0.479,0
"KLF12",0,-0.975753859992535,0.117,0.417,0
"PBX3",0,-0.989961867303501,0.107,0.406,0
"MIR124-2HG",0,-0.661068852231745,0.155,0.453,0
"PBRM1",0,-0.275085183323387,0.182,0.48,0
"KANSL1",0,-0.334656042145268,0.201,0.499,0
"COPS9",0,-0.586109097003592,0.102,0.399,0
"TMCC1",0,-0.459213446509037,0.162,0.459,0
"TOMM7",0,-0.260024734527367,0.144,0.441,0
"LINC00342",0,-1.51467757883952,0.084,0.381,0
"MAGEF1",0,-0.256917832538806,0.139,0.436,0
"CENPV",0,-0.27273512320065,0.146,0.442,0
"MYH10",0,-0.299394970819429,0.201,0.497,0
"TMEM160",0,-0.69881111135279,0.076,0.372,0
"EHBP1",0,-0.489080925102906,0.165,0.46,0
"SEMA6D",0,-0.430833026988376,0.187,0.482,0
"CCDC90B",0,-0.353460130329099,0.129,0.423,0
"ATP5PD",0,-0.345222946255963,0.118,0.412,0
"NEO1",0,-0.51288088914517,0.163,0.455,0
"VAT1L",0,-0.365749707427421,0.174,0.466,0
"PET100",0,-1.58573209601471,0.04,0.332,0
"SCMH1",0,-0.620837392993387,0.146,0.437,0
"KRTCAP2",0,-0.259345144973706,0.13,0.421,0
"ZRANB2",0,-0.336615713601057,0.169,0.459,0
"FZD3",0,-0.731922754714769,0.1,0.39,0
"ATF7IP",0,-0.495565727419921,0.142,0.432,0
"ITSN1",0,-0.419508601787477,0.171,0.461,0
"RUNDC3B",0,-0.415199082838723,0.166,0.455,0
"COA3",0,-0.31878571381783,0.11,0.399,0
"HERC2",0,-0.724528516390885,0.14,0.429,0
"KLHL7",0,-0.483956197409512,0.144,0.432,0
"H2AFY2",0,-0.47396527081668,0.126,0.414,0
"PAK5",0,-0.691947449360537,0.132,0.42,0
"AC114316.1",0,-1.85761275141402,0.071,0.358,0
"LHFPL6",0,-1.58116969292613,0.07,0.357,0
"FGF12",0,-0.435890972577837,0.162,0.448,0
"PCDHB2",0,-1.08718339066178,0.078,0.364,0
"RNF5",0,-0.250561230694421,0.134,0.42,0
"SRGAP1",0,-0.9462028066593,0.11,0.395,0
"ANK1",0,-1.12567759305769,0.125,0.41,0
"HTATSF1",0,-0.350657674298844,0.122,0.407,0
"ZNF521",0,-1.2171302849449,0.098,0.382,0
"JPX",0,-0.386503325414901,0.171,0.455,0
"USP33",0,-0.319036655171676,0.174,0.457,0
"TMEM14B",0,-0.291280621232169,0.153,0.436,0
"EXOC4",0,-0.609547024816484,0.147,0.43,0
"GOLM1",0,-0.428251399193826,0.148,0.431,0
"GRM7",0,-0.450983958121984,0.168,0.45,0
"SMARCC1",0,-0.406606640251174,0.166,0.448,0
"ACBD6",0,-0.293750116337631,0.167,0.448,0
"MTX2",0,-0.291239614790678,0.147,0.427,0
"RNF24",0,-0.414461007289516,0.172,0.452,0
"LDOC1",0,-0.257357440949931,0.122,0.402,0
"PLCL2",0,-0.922328364338764,0.136,0.416,0
"ENSA",0,-0.282352806164353,0.154,0.433,0
"ESRRG",0,-1.50055165260629,0.077,0.356,0
"POU6F2",0,-1.69001317424127,0.068,0.347,0
"IRX3",0,-0.683747304763849,0.117,0.395,0
"CD46",0,-0.373072090124176,0.184,0.461,0
"LINC01322",0,-1.43697996442305,0.08,0.357,0
"IL1RAPL1",0,-0.816200453100029,0.133,0.41,0
"PRPF6",0,-0.402070369393925,0.134,0.41,0
"STRBP",0,-0.295251711874754,0.179,0.454,0
"EPB41",0,-0.276503417316418,0.169,0.443,0
"APBB2",0,-0.536874738385234,0.161,0.435,0
"TOP1",0,-0.250426262045314,0.161,0.435,0
"CACNA1C",0,-0.25706359638765,0.181,0.454,0
"MARK1",0,-0.310274034370605,0.17,0.442,0
"PARP1",0,-0.452775578377872,0.108,0.38,0
"SEM1",0,-0.564185480456436,0.106,0.378,0
"FRMD5",0,-0.274227459078347,0.182,0.454,0
"PDE1A",0,-1.20726349172208,0.096,0.367,0
"FRY",0,-0.691703186631873,0.144,0.415,0
"FOXA2",0,-0.607242112943178,0.104,0.375,0
"MIAT",0,-0.766871779235746,0.136,0.407,0
"DCBLD2",0,-0.606101740627839,0.12,0.39,0
"PCDH7",0,-0.50390239031413,0.189,0.459,0
"ENOX1",0,-0.713222666043736,0.146,0.416,0
"MT-CYB",0,-0.603464410216159,0.677,0.947,0
"TCTEX1D2",0,-0.465650454105029,0.111,0.38,0
"BICD1",0,-0.419174132315645,0.15,0.419,0
"AMPH",0,-0.447355462604971,0.138,0.407,0
"DHCR24",0,-0.529570927856151,0.108,0.376,0
"SH3BP5",0,-0.253801048566525,0.149,0.417,0
"TRA2B",0,-0.271445506207837,0.157,0.425,0
"TRAPPC9",0,-0.291518644725437,0.174,0.442,0
"C1QTNF4",0,-0.461480454104447,0.102,0.37,0
"HNRNPUL2",0,-0.307534204544017,0.135,0.403,0
"TENM3",0,-1.19934541651396,0.106,0.373,0
"CUEDC2",0,-0.387558053185683,0.097,0.364,0
"DENR",0,-0.403927665971716,0.125,0.392,0
"MIR99AHG",0,-1.05013067634614,0.107,0.374,0
"PDE4B",0,-1.10851752314442,0.094,0.36,0
"MAB21L1",0,-0.612205519576299,0.101,0.367,0
"MIR137HG",0,-0.309843945584884,0.169,0.434,0
"IGF2BP2",0,-0.356006410302218,0.176,0.441,0
"DACH2",0,-0.380101378888411,0.128,0.393,0
"TBC1D5",0,-0.616955936827596,0.129,0.393,0
"SLIRP",0,-0.456753583753813,0.111,0.375,0
"SRSF10",0,-0.328647927026315,0.144,0.407,0
